Plot,Experiment Name,HT
1001,2119,52
1002,2119,51
1003,2119,45
1004,2119,45
1005,2119,43
1006,2119,47
1007,2119,50
1008,2119,46
1009,2119,45
1010,2119,48
1011,2119,46
1012,2119,49
1013,2119,52
1014,2119,48
1015,2119,51
1016,2119,49
1017,2119,40
1018,2119,41
1019,2119,36
1020,2119,39
1021,2119,47
1022,2119,43
1023,2119,43
1024,2119,38
1025,2119,46
1026,2119,45
1027,2119,51
1028,2119,53
1029,2119,52
1030,2119,53
1031,2119,41
1032,2119,46
1033,2119,51
1034,2119,45
1035,2119,47
1036,2119,48
1037,2119,43
1038,2119,46
1039,2119,42
1040,2119,45
1041,2119,51
1042,2119,47
2001,2119,55
2002,2119,48
2003,2119,55
2004,2119,54
2005,2119,55
2006,2119,56
2007,2119,47
2008,2119,50
2009,2119,56
2010,2119,43
2011,2119,58
2012,2119,50
2013,2119,50
2014,2119,40
2015,2119,41
2016,2119,42
2017,2119,45
2018,2119,38
2019,2119,50
2020,2119,57
2021,2119,47
2022,2119,43
2023,2119,49
2024,2119,44
2025,2119,46
2026,2119,56
2027,2119,50
2028,2119,46
2029,2119,44
2030,2119,40
2031,2119,48
2032,2119,51
2033,2119,48
2034,2119,40
2035,2119,48
2036,2119,49
2037,2119,53
2038,2119,48
2039,2119,48
2040,2119,47
2041,2119,50
2042,2119,51
