Global_ID,Plot,Experiment Name,HT
22231001,1001,2223,41
22231002,1002,2223,40
22231003,1003,2223,42
22231004,1004,2223,44
22231005,1005,2223,42
22231006,1006,2223,34
22231007,1007,2223,35
22231008,1008,2223,44
22231009,1009,2223,39
22231010,1010,2223,40
22231011,1011,2223,38
22231012,1012,2223,34
22231013,1013,2223,34
22231014,1014,2223,33
22231015,1015,2223,35
22231016,1016,2223,39
22231017,1017,2223,38
22231018,1018,2223,34
22231019,1019,2223,29
22231020,1020,2223,35
22231021,1021,2223,38
22231022,1022,2223,37
22231023,1023,2223,38
22231024,1024,2223,35
22231025,1025,2223,34
22231026,1026,2223,34
22231027,1027,2223,24
22231028,1028,2223,37
22231029,1029,2223,42
22231030,1030,2223,43
22231031,1031,2223,36
22231032,1032,2223,40
22231033,1033,2223,42
22231034,1034,2223,40
22231035,1035,2223,41
22231036,1036,2223,38
22232001,2001,2223,39
22232002,2002,2223,41
22232003,2003,2223,36
22232004,2004,2223,34
22232005,2005,2223,35
22232006,2006,2223,43
22232007,2007,2223,36
22232008,2008,2223,40
22232009,2009,2223,41
22232010,2010,2223,35
22232011,2011,2223,34
22232012,2012,2223,33
22232013,2013,2223,36
22232014,2014,2223,44
22232015,2015,2223,35
22232016,2016,2223,41
22232017,2017,2223,40
22232018,2018,2223,44
22232019,2019,2223,35
22232020,2020,2223,43
22232021,2021,2223,42
22232022,2022,2223,42
22232023,2023,2223,45
22232024,2024,2223,44
22232025,2025,2223,31
22232026,2026,2223,35
22232027,2027,2223,36
22232028,2028,2223,40
22232029,2029,2223,42
22232030,2030,2223,37
22232031,2031,2223,37
22232032,2032,2223,36
22232033,2033,2223,38
22232034,2034,2223,39
22232035,2035,2223,41
22232036,2036,2223,43
22241001,1001,2224,29
22241002,1002,2224,37
22241003,1003,2224,40
22241004,1004,2224,41
22241005,1005,2224,40
22241006,1006,2224,36
22241007,1007,2224,35
22241008,1008,2224,34
22241009,1009,2224,39
22241010,1010,2224,40
22241011,1011,2224,37
22241012,1012,2224,34
22241013,1013,2224,35
22241014,1014,2224,36
22241015,1015,2224,33
22241016,1016,2224,32
22241017,1017,2224,36
22241018,1018,2224,36
22241019,1019,2224,39
22241020,1020,2224,38
22241021,1021,2224,32
22241022,1022,2224,39
22241023,1023,2224,36
22241024,1024,2224,38
22241025,1025,2224,40
22241026,1026,2224,37
22241027,1027,2224,39
22241028,1028,2224,36
22241029,1029,2224,38
22241030,1030,2224,39
22242001,2001,2224,37
22242002,2002,2224,38
22242003,2003,2224,38
22242004,2004,2224,34
22242005,2005,2224,38
22242006,2006,2224,37
22242007,2007,2224,40
22242008,2008,2224,35
22242009,2009,2224,36
22242010,2010,2224,42
22242011,2011,2224,33
22242012,2012,2224,36
22242013,2013,2224,34
22242014,2014,2224,37
22242015,2015,2224,35
22242016,2016,2224,37
22242017,2017,2224,35
22242018,2018,2224,35
22242019,2019,2224,37
22242020,2020,2224,36
22242021,2021,2224,37
22242022,2022,2224,38
22242023,2023,2224,33
22242024,2024,2224,43
22242025,2025,2224,47
22242026,2026,2224,37
22242027,2027,2224,39
22242028,2028,2224,35
22242029,2029,2224,39
22242030,2030,2224,40
