Plot,Experiment Name,HT
1001,2201,45
1002,2201,41
1003,2201,46
1004,2201,51
1005,2201,44
1006,2201,47
1007,2201,35
1008,2201,40
1009,2201,42
1010,2201,43
1011,2201,46
1012,2201,35
1013,2201,40
1014,2201,44
1015,2201,37
1016,2201,40
1017,2201,32
1018,2201,35
1019,2201,30
1020,2201,43
1021,2201,31
1022,2201,37
1023,2201,37
1024,2201,47
1025,2201,47
1026,2201,37
1027,2201,57
1028,2201,39
1029,2201,44
1030,2201,40
1031,2201,36
1032,2201,45
1033,2201,33
1034,2201,44
1035,2201,34
1036,2201,56
2001,2201,60
2002,2201,42
2003,2201,44
2004,2201,42
2005,2201,43
2006,2201,59
2007,2201,48
2008,2201,38
2009,2201,42
2010,2201,41
2011,2201,45
2012,2201,37
2013,2201,47
2014,2201,45
2015,2201,37
2016,2201,43
2017,2201,49
2018,2201,50
2019,2201,44
2020,2201,35
2021,2201,43
2022,2201,43
2023,2201,49
2024,2201,49
2025,2201,37
2026,2201,42
2027,2201,47
2028,2201,39
2029,2201,31
2030,2201,47
2031,2201,49
2032,2201,38
2033,2201,42
2034,2201,40
2035,2201,35
2036,2201,58
3001,2201,33
3002,2201,43
3003,2201,40
3004,2201,39
3005,2201,38
3006,2201,36
3007,2201,35
3008,2201,47
3009,2201,38
3010,2201,39
3011,2201,50
3012,2201,38
3013,2201,49
3014,2201,50
3015,2201,39
3016,2201,49
3017,2201,53
3018,2201,41
3019,2201,35
3020,2201,39
3021,2201,57
3022,2201,48
3023,2201,50
3024,2201,43
3025,2201,41
3026,2201,37
3027,2201,46
3028,2201,46
3029,2201,44
3030,2201,33
3031,2201,36
3032,2201,46
3033,2201,47
3034,2201,54
3035,2201,50
3036,2201,40
4001,2201,34
4002,2201,49
4003,2201,39
4004,2201,39
4005,2201,38
4006,2201,41
4007,2201,37
4008,2201,38
4009,2201,46
4010,2201,34
4011,2201,49
4012,2201,40
4013,2201,53
4014,2201,45
4015,2201,40
4016,2201,46
4017,2201,43
4018,2201,55
4019,2201,51
4020,2201,38
4021,2201,40
4022,2201,33
4023,2201,52
4024,2201,40
4025,2201,44
4026,2201,41
4027,2201,55
4028,2201,43
4029,2201,59
4030,2201,43
4031,2201,49
4032,2201,42
4033,2201,40
4034,2201,30
4035,2201,58
4036,2201,38
1001,2202,51
1002,2202,48
1003,2202,51
1004,2202,53
1005,2202,45
1006,2202,47
1007,2202,47
1008,2202,45
1009,2202,47
1010,2202,40
1011,2202,46
1012,2202,48
1013,2202,52
1014,2202,48
1015,2202,39
1016,2202,52
1017,2202,45
1018,2202,42
1019,2202,54
1020,2202,41
1021,2202,44
1022,2202,58
1023,2202,48
1024,2202,52
1025,2202,46
1026,2202,49
1027,2202,49
1028,2202,52
1029,2202,47
1030,2202,49
2001,2202,47
2002,2202,42
2003,2202,45
2004,2202,48
2005,2202,49
2006,2202,41
2007,2202,50
2008,2202,58
2009,2202,38
2010,2202,49
2011,2202,59
2012,2202,50
2013,2202,42
2014,2202,42
2015,2202,46
2016,2202,49
2017,2202,43
2018,2202,52
2019,2202,54
2020,2202,46
2021,2202,51
2022,2202,42
2023,2202,45
2024,2202,48
2025,2202,48
2026,2202,52
2027,2202,50
2028,2202,52
2029,2202,45
2030,2202,49
3001,2202,45
3002,2202,44
3003,2202,52
3004,2202,51
3005,2202,42
3006,2202,43
3007,2202,45
3008,2202,50
3009,2202,49
3010,2202,47
3011,2202,44
3012,2202,50
3013,2202,47
3014,2202,48
3015,2202,51
3016,2202,50
3017,2202,49
3018,2202,49
3019,2202,55
3020,2202,51
3021,2202,45
3022,2202,49
3023,2202,44
3024,2202,45
3025,2202,45
3026,2202,44
3027,2202,54
3028,2202,49
3029,2202,44
3030,2202,47
4001,2202,51
4002,2202,50
4003,2202,47
4004,2202,48
4005,2202,55
4006,2202,48
4007,2202,47
4008,2202,49
4009,2202,55
4010,2202,45
4011,2202,43
4012,2202,49
4013,2202,56
4014,2202,50
4015,2202,50
4016,2202,58
4017,2202,47
4018,2202,54
4019,2202,46
4020,2202,47
4021,2202,49
4022,2202,50
4023,2202,49
4024,2202,52
4025,2202,49
4026,2202,49
4027,2202,48
4028,2202,49
4029,2202,48
4030,2202,50
1001,2205,48
1002,2205,44
1003,2205,47
1004,2205,39
1005,2205,51
1006,2205,45
1007,2205,49
1008,2205,47
1009,2205,58
1010,2205,38
1011,2205,40
1012,2205,38
1013,2205,40
1014,2205,41
1015,2205,51
1016,2205,49
1017,2205,54
1018,2205,53
1019,2205,51
1020,2205,40
1021,2205,42
1022,2205,35
1023,2205,53
1024,2205,54
1025,2205,41
1026,2205,40
1027,2205,56
1028,2205,41
1029,2205,40
1030,2205,48
1031,2205,60
1032,2205,58
1033,2205,42
1034,2205,59
1035,2205,50
1036,2205,59
1037,2205,62
1038,2205,51
1039,2205,47
1040,2205,34
2001,2205,42
2002,2205,45
2003,2205,32
2004,2205,48
2005,2205,45
2006,2205,50
2007,2205,33
2008,2205,44
2009,2205,39
2010,2205,32
2011,2205,43
2012,2205,37
2013,2205,48
2014,2205,46
2015,2205,44
2016,2205,48
2017,2205,51
2018,2205,41
2019,2205,47
2020,2205,50
2021,2205,45
2022,2205,49
2023,2205,50
2024,2205,37
2025,2205,59
2026,2205,40
2027,2205,52
2028,2205,49
2029,2205,50
2030,2205,51
2031,2205,46
2032,2205,52
2033,2205,44
2034,2205,54
2035,2205,50
2036,2205,46
2037,2205,43
2038,2205,46
2039,2205,38
2040,2205,60
3001,2205,48
3002,2205,47
3003,2205,49.3
3004,2205,61
3005,2205,51
3006,2205,48
3007,2205,56
3008,2205,49
3009,2205,46
3010,2205,47
3011,2205,48.3
3012,2205,41
3013,2205,46
3014,2205,37
3015,2205,40
3016,2205,51
3017,2205,52
3018,2205,37
3019,2205,54
3020,2205,50
3021,2205,59
3022,2205,34
3023,2205,51
3024,2205,52
3025,2205,49
3026,2205,57
3027,2205,46
3028,2205,48
3029,2205,50
3030,2205,62
3031,2205,55
3032,2205,51
3033,2205,63
3034,2205,56
3035,2205,51
3036,2205,30
3037,2205,49
3038,2205,54
3039,2205,68
3040,2205,49
1001,2206,53
1002,2206,49
1003,2206,44
1004,2206,46
1005,2206,52
1006,2206,36
1007,2206,45
1008,2206,56
1009,2206,42
1010,2206,38
1011,2206,40
1012,2206,49
1013,2206,47
1014,2206,38
1015,2206,48
1016,2206,45
1017,2206,49
1018,2206,46
1019,2206,48
1020,2206,47
1021,2206,44
1022,2206,53
1023,2206,41
1024,2206,55
1025,2206,42
1026,2206,42
1027,2206,63
1028,2206,50
1029,2206,38
1030,2206,40
1031,2206,52
1032,2206,51
1033,2206,45
1034,2206,38
1035,2206,39
1036,2206,39
1037,2206,37
1038,2206,38
1039,2206,38
1040,2206,36
1041,2206,50
1042,2206,38
1043,2206,43
1044,2206,47
1045,2206,38
1046,2206,47
1047,2206,40
