PlotID_sel,PlotID,sel,HT,EPH_0.5_median_quantile_0.9_DSM,EPH_0.5_median_quantile_0.9_PC
2001_1001,2001,1001,32,31.32,44.16666667
2001_1002,2001,1002,46,22.19666667,31.13333333
2001_1003,2001,1003,46,39.35333333,48.51333333
2001_1004,2001,1004,40,43.69,53.43333333
2001_1005,2001,1005,37,28.03333333,40.76666667
2001_1006,2001,1006,41,48.43333333,63.04
2001_1007,2001,1007,47,44.72666667,64.86666667
2001_1008,2001,1008,45,52.52666667,68.03333333
2001_1009,2001,1009,37,52.99666667,68.02
2001_1010,2001,1010,57,50.66666667,68.76
2001_1011,2001,1011,46,43.12,58.06666667
2001_1012,2001,1012,45,30.76666667,45.2
2001_1013,2001,1013,58,61.33,78.90666667
2001_1014,2001,1014,44,35.95333333,44.21666667
2001_1015,2001,1015,58,48.35666667,66.34
2001_1016,2001,1016,56,60.60666667,79.73333333
2001_1017,2001,1017,53,45.83333333,61.32333333
2001_1018,2001,1018,52,56.60666667,67.58333333
2001_1019,2001,1019,51,54.46,66.02666667
2001_1020,2001,1020,53,62.36666667,69.13333333
2001_1021,2001,1021,67,72.08333333,78.36666667
2001_1022,2001,1022,53,55.27333333,64.43333333
2001_1023,2001,1023,50,67.08,73.33333333
2001_1024,2001,1024,57,50.49666667,58.27333333
2001_1025,2001,1025,55,46.15,61.28333333
2001_1026,2001,1026,46,59.34,66.16666667
2001_1027,2001,1027,52,62.57,75.82
2001_1028,2001,1028,47,68.39666667,79.62666667
2001_1029,2001,1029,48,60.62333333,72.01333333
2001_1030,2001,1030,53,72.24666667,83.58333333
2001_1031,2001,1031,50,55.01333333,66.30333333
2001_1032,2001,1032,45,54.16,61.33333333
2001_1033,2001,1033,51,58.89333333,65.12333333
2001_1034,2001,1034,51,54.82666667,72.84
2001_1035,2001,1035,50,50.66,56.13333333
2001_1036,2001,1036,47,37.59333333,46.75
2001_2001,2001,2001,44,50.7,60.96333333
2001_2002,2001,2002,48,57.41666667,73.56666667
2001_2003,2001,2003,33,40.67666667,48.94
