PlotID_sel,HT,EPH_quantile_0.99_DSM,EPH_soil_0.5_quantile_0.99_PC
2102_1001,44,18.89815352,16.08
2102_1002,48,15.28837475,6.666666667
2102_1003,46,16.09017204,8.666666667
2102_1004,49,17.17290715,11.63333333
2102_1005,50,20.04362867,11.1
2102_1006,45,13.54490113,11.36666667
2102_1007,54,23.33330716,24.35
2102_1008,45,25.63405335,25.87333333
2102_1009,40,18.99412397,16.66666667
2102_1010,37,22.12358181,21.9
2102_1011,45,20.630876,22.45
2102_1012,55,28.21535757,28.01666667
2102_1013,45,28.39510148,31.13333333
2102_1014,27,22.42868373,22.13333333
2102_1015,50,29.989754,31.07333333
2102_1016,54,25.47851075,28.20333333
2102_1017,39,23.71272049,26.2
2102_1018,50,30.7114216,32.66
2102_1019,47,22.35265651,23.96666667
2102_1020,49,31.44883578,33.13333333
2102_1021,50,27.23886003,31.12
2102_1022,53,26.69321345,27.54
2102_1023,50,34.59445819,38
2102_1024,48,24.56296029,26.22333333
2102_1025,43,24.66772039,24.64
2102_1026,40,26.32710025,27.7
2102_1027,58,29.84454655,31.6
2102_1028,53,24.40053576,24.3
2102_1029,42,20.47851385,17.16666667
2102_1030,49,25.81702011,26.69
2102_1031,42,22.84880437,21.7
2102_1032,40,21.25614319,18.8
2102_1033,49,26.70747563,27.99333333
2102_1034,48,24.83682334,22.36666667
2102_1035,49,24.95231917,25.4
2102_1036,41,20.12947263,19.1
2102_1037,42,16.8837609,13.59666667
2102_1038,37,20.00289202,21.36
2102_1039,44,26.1083793,28.01333333
2102_1040,46,21.34066559,19.06666667
2102_1041,53,35.20275517,36.03333333
2102_1042,40,16.43853526,12.86666667
2102_2001,43,12.10474794,1.966666667
2102_2002,43,14.14879962,11.43333333
2102_2003,47,17.8366598,17.63333333
2102_2004,52,15.21958281,6.69
2102_2005,37,12.58590454,6.766666667
2102_2006,50,25.1346658,23.8
2102_2007,44,17.75165406,17.4
2102_2008,46,20.4547924,15.8
2102_2009,41,21.07234639,19.3
2102_2010,47,26.25507835,28.13333333
2102_2011,46,22.11436887,23.3
2102_2012,46,23.61604174,22.6
2102_2013,46,26.42689177,28.18333333
2102_2014,55,27.78818474,30.71666667
2102_2015,48,26.69195014,28.66666667
2102_2016,38,24.86980001,26.7
2102_2017,52,30.94556557,32.56666667
2102_2018,58,32.67929549,35.51333333
2102_2019,47,22.87454623,23.85666667
2102_2020,35,17.18333288,15.53333333
2102_2021,39,21.43990745,23.63333333
2102_2022,50,23.87279863,21.61333333
2102_2023,50,30.68289289,33.05
2102_2024,52,18.98399961,15.63333333
2102_2025,48,27.35941541,28.73333333
2102_2026,52,29.13830351,30.77333333
2102_2027,43,25.1522461,25.92333333
2102_2028,56,30.98812453,33.53333333
2102_2029,54,29.96340292,32.03333333
2102_2030,44,19.85884092,18.33333333
2102_2031,38,19.11081856,15.60333333
2102_2032,47,19.50692768,17.46666667
2102_2033,40,19.4017582,16.47666667
2102_2034,42,20.17971429,18.86666667
2102_2035,49,30.98873034,32.88
2102_2036,39,19.84405751,11.43333333
2102_2037,48,17.82022232,11.88333333
2102_2038,50,27.83780469,28.26666667
2102_2039,48,26.0617063,26.85333333
2102_2040,48,19.49486533,16.26666667
2102_2041,46,27.63651896,29.46666667
2102_2042,34,17.20321601,12.53333333
2102_3001,43,22.29394656,19.96666667
2102_3002,26,22.17728128,22.82
2102_3003,41,24.24026737,20.78666667
2102_3004,52,32.98898426,36.27333333
2102_3005,43,22.08223362,18.67333333
2102_3006,50,25.50705898,25.86666667
2102_3007,45,22.06415868,20.83333333
2102_3008,53,37.14729644,38.87333333
2102_3009,39,24.7161689,25.58333333
2102_3010,50,23.56602936,23.49666667
2102_3011,40,24.2720469,25
2102_3012,48,30.42574724,33.21666667
2102_3013,48,25.06864581,24.37
2102_3014,54,36.94257564,37.98333333
2102_3015,50,40.82970573,42.30666667
2102_3016,55,29.16553747,28.14
2102_3017,54,34.35862282,36.01333333
2102_3018,48,31.07865692,33.37333333
2102_3019,52,36.26656667,38.24333333
2102_3020,48,25.57441913,26.15333333
2102_3021,40,23.78832654,21.66333333
2102_3022,50,24.53515707,23
2102_3023,44,31.88368087,34.56666667
2102_3024,51,30.34158984,32.1
2102_3025,57,37.75748673,39.33333333
2102_3026,49,29.52045987,31.86666667
2102_3027,55,37.35707616,38.52333333
2102_3028,50,28.77517803,28.28333333
2102_3029,49,25.5669127,25.62333333
2102_3030,36,29.90420965,30.2
2102_3031,45,21.46326735,20.7
2102_3032,52,28.09378146,26.36666667
2102_3033,48,24.97934642,26.72333333
2102_3034,42,22.10178734,21.93
2102_3035,48,30.09010596,32.4
2102_3036,46,23.75970071,23.56666667
2102_3037,55,32.01113649,33.9
2102_3038,51,21.5189914,19.86666667
2102_3039,47,28.2466567,29.03
2102_3040,53,34.75228247,34.26
2102_3041,46,32.62665374,33.4
2102_3042,49,26.69036061,28.28
2102_4001,53,27.19664597,28.10333333
2102_4002,52,35.32082604,36.96666667
2102_4003,42,19.3106991,18.66666667
2102_4004,40,19.00201741,17.58
2102_4005,45,21.7445335,20.43333333
2102_4006,43,23.61015103,21.24
2102_4007,40,25.22783506,24.66666667
2102_4008,51,27.26339443,28.33333333
2102_4009,45,24.71196202,25.5
2102_4010,42,19.92814034,15.03333333
2102_4011,42,20.85539356,19.48666667
2102_4012,50,31.79511764,33.1
2102_4013,49,30.25764159,30.46666667
2102_4014,55,29.74359842,30.79333333
2102_4015,54,33.81163183,34.4
