PlotID_sel,Plot,Experiment Name,HT,EPH_0.25_median_quantile_0.99_DSM,EPH_0.25_median_quantile_0.99_PC
2201_1001,1001,2201,45,26.42,31.04333333
2201_1002,1002,2201,41,23.96,28.17
2201_1003,1003,2201,46,17.40666667,21.38666667
2201_1004,1004,2201,51,33.17333333,37.56666667
2201_1005,1005,2201,44,21.06666667,27.27333333
2201_1006,1006,2201,47,31.88,36.26666667
2201_1007,1007,2201,35,16.40333333,20.73333333
2201_1008,1008,2201,40,14.47,18.83333333
2201_1009,1009,2201,42,13.08,18.29
2201_1010,1010,2201,43,23.56666667,28.53333333
2201_1011,1011,2201,46,25.02,29.63
2201_1012,1012,2201,35,18.95,23.83333333
2201_1013,1013,2201,40,14.35,15.86666667
2201_1014,1014,2201,44,11.27,13.26666667
2201_1015,1015,2201,37,15.65333333,17.83333333
2201_1016,1016,2201,40,28.37666667,33.46666667
2201_1017,1017,2201,32,24.92333333,27.26666667
2201_1018,1018,2201,35,16.97666667,17.53333333
2201_1019,1019,2201,30,14.76666667,15.8
2201_1020,1020,2201,43,17.04333333,19.06666667
2201_1021,1021,2201,31,15.2,18.1
2201_1022,1022,2201,37,21.07666667,23.63333333
2201_1023,1023,2201,37,17.00333333,18.33333333
2201_1024,1024,2201,47,23.05666667,23.63333333
2201_1025,1025,2201,47,28.85666667,31.43333333
2201_1026,1026,2201,37,23.14,25.15333333
2201_1027,1027,2201,57,23.06333333,22.23333333
2201_1028,1028,2201,39,26.83333333,30.06666667
2201_1029,1029,2201,44,19.04333333,20.36666667
2201_1030,1030,2201,40,16.30666667,17.16666667
2201_1031,1031,2201,36,17.53,17.99333333
2201_1032,1032,2201,45,35.54666667,36.73333333
2201_1033,1033,2201,33,19.22,20.93
2201_1034,1034,2201,44,24.99,27.78666667
2201_1035,1035,2201,34,21.22333333,21.36666667
2201_1036,1036,2201,56,22.96,26.16
2201_2001,2001,2201,60,30.90666667,35.50333333
2201_2002,2002,2201,42,30.04333333,34.59666667
2201_2003,2003,2201,44,24.24333333,30.09
2201_2004,2004,2201,42,28.62333333,32.63333333
2201_2005,2005,2201,43,30.93,35.27
2201_2006,2006,2201,59,31.08,35.99333333
2201_2007,2007,2201,48,25.27333333,30.13333333
2201_2008,2008,2201,38,12.54,17.8
2201_2009,2009,2201,42,15.81666667,19.33333333
2201_2010,2010,2201,41,25.48333333,29.86666667
2201_2011,2011,2201,45,25.33,30.06666667
2201_2012,2012,2201,37,20.16666667,25.1
2201_2013,2013,2201,47,21.11666667,23.66666667
