PlotID_sel,Plot,Experiment Name,HT,EPH_quantile_0.99_DSM,EPH_soil_0.5_quantile_0.99_PC
21191001,1001,2119,52,39.88183262,42.54
21191002,1002,2119,51,41.07569666,42.06666667
21191003,1003,2119,45,39.28782444,41.46
21191004,1004,2119,45,33.76533039,36.5
21191005,1005,2119,43,33.47547393,38.2
21191006,1006,2119,47,35.25457517,39.84666667
21191007,1007,2119,50,45.97721337,49.68666667
21191008,1008,2119,46,40.23150531,43.4
21191009,1009,2119,45,41.01130287,45.91
21191010,1010,2119,48,46.32799335,50.03333333
21191011,1011,2119,46,42.80598085,46.63666667
21191012,1012,2119,49,47.63862303,53.89
21191013,1013,2119,52,42.01431757,44.33333333
21191014,1014,2119,48,31.56379801,33.79
21191015,1015,2119,51,38.47630692,40.03
21191016,1016,2119,49,38.2802154,40.43333333
21191017,1017,2119,40,37.6075268,39.76666667
21191018,1018,2119,41,28.38830414,34.36666667
21191019,1019,2119,36,28.96416795,31.16666667
21191020,1020,2119,39,28.13341572,27.61666667
21191021,1021,2119,47,41.00321631,42.67666667
21191022,1022,2119,43,37.91631807,39.43333333
21191023,1023,2119,43,34.87416612,35.16666667
21191024,1024,2119,38,27.38873372,28.3
21191025,1025,2119,46,37.31784565,38.58666667
21191026,1026,2119,45,36.80448236,39.63333333
21191027,1027,2119,51,43.23900395,44.23333333
21191028,1028,2119,53,44.2055564,47.36666667
21191029,1029,2119,52,42.91014832,44.67
21191030,1030,2119,53,44.46568764,46.28666667
21191031,1031,2119,41,16.05123542,17.63333333
21191032,1032,2119,46,33.53434634,35.03333333
21191033,1033,2119,51,42.82717735,44.12333333
21191034,1034,2119,45,38.2116361,39.8
21191035,1035,2119,47,41.43745164,43.61333333
21191036,1036,2119,48,41.07062274,41.34
21191037,1037,2119,43,38.38037398,40.93333333
21191038,1038,2119,46,36.9303082,38.44
21191039,1039,2119,42,33.90399189,36.06666667
21191040,1040,2119,45,7.048782704,6.1
21191041,1041,2119,51,41.82799536,44.06666667
21191042,1042,2119,47,40.64240027,41.77333333
21192001,2001,2119,55,40.78980432,42.5
21192002,2002,2119,48,38.01448868,40.23333333
21192003,2003,2119,55,42.07115874,44.87
21192004,2004,2119,54,40.15048405,42.23333333
21192005,2005,2119,55,45.4302545,46.63333333
21192006,2006,2119,56,49.58711643,50.66666667
21192007,2007,2119,47,39.40529786,41.7
21192008,2008,2119,50,40.8036663,42.3
21192009,2009,2119,56,45.90755063,47.46666667
21192010,2010,2119,43,35.03194747,37.4
21192011,2011,2119,58,45.27577933,45.42
21192012,2012,2119,50,39.65079108,43.47333333
21192013,2013,2119,50,44.78505872,46.53333333
21192014,2014,2119,40,27.06753034,26.14333333
21192015,2015,2119,41,30.26227423,31.66666667
21192016,2016,2119,42,33.0879756,33.36666667
21192017,2017,2119,45,33.85535098,36.7
21192018,2018,2119,38,35.90084789,34.99
21192019,2019,2119,50,37.50751542,37.9
21192020,2020,2119,57,45.56510631,47.4
21192021,2021,2119,47,38.22453411,40.3
21192022,2022,2119,43,29.89150215,31.53333333
21192023,2023,2119,49,37.12325372,39.03333333
21192024,2024,2119,44,34.01328425,35.03333333
21192025,2025,2119,46,39.47282443,39.56666667
21192026,2026,2119,56,41.39040603,44.06666667
21192027,2027,2119,50,39.85605498,42.03333333
21192028,2028,2119,46,35.87849387,36.36666667
21192029,2029,2119,44,30.74680198,31.83333333
21192030,2030,2119,40,24.67956309,25.9
21192031,2031,2119,48,39.04930838,40
21192032,2032,2119,51,42.6871437,44.13333333
21192033,2033,2119,48,39.19979695,37.86666667
21192034,2034,2119,40,32.02936201,34.46666667
21192035,2035,2119,48,35.27854087,38.32666667
21192036,2036,2119,49,39.48490001,39.72666667
21192037,2037,2119,53,47.41051293,48
21192038,2038,2119,48,37.78913593,37.13333333
21192039,2039,2119,48,35.2314747,36.43333333
21192040,2040,2119,47,38.59400235,39.83333333
21192041,2041,2119,50,38.18780599,37.83333333
21192042,2042,2119,51,41.21322791,42.53333333
