Plot,Experiment Name,HT,PlotID_sel,EPH_0.25_median_quantile_0.99,EPH_0.25_median_quantile_0.99
1001,2223,41,2223_1001,43.62,46.795
1002,2223,40,2223_1002,38.28,43.125
1003,2223,42,2223_1003,36.68,39.75
1004,2223,44,2223_1004,42.085,46.08
1005,2223,42,2223_1005,39.22,41.9
1006,2223,34,2223_1006,30.875,33.6
1007,2223,35,2223_1007,25.955,35.74
1008,2223,44,2223_1008,46.73,54.285
1009,2223,39,2223_1009,33.6,41.55
1010,2223,40,2223_1010,35.765,41.05
1011,2223,38,2223_1011,23.835,33.55
1012,2223,34,2223_1012,34.11,38.5
1013,2223,34,2223_1013,30.37,37.5
1014,2223,33,2223_1014,28.39,35.31
1015,2223,35,2223_1015,26.525,34.55
1016,2223,39,2223_1016,32.1,36.63
1017,2223,38,2223_1017,25.2,33.355
1018,2223,34,2223_1018,23.86,29.985
1019,2223,29,2223_1019,23.825,29.145
1020,2223,35,2223_1020,28.01,34.235
1021,2223,38,2223_1021,27.79,35.55
1022,2223,37,2223_1022,30.25,35.86
1023,2223,38,2223_1023,29.33,35.7
1024,2223,35,2223_1024,27.525,31.95
1025,2223,34,2223_1025,23.59,31.91
1026,2223,34,2223_1026,26.96,34.205
1027,2223,24,2223_1027,21.835,30.34
1028,2223,37,2223_1028,22.455,31.42
1029,2223,42,2223_1029,27.295,34.1
1030,2223,43,2223_1030,33.075,36.9
1031,2223,36,2223_1031,25.125,30.445
1032,2223,40,2223_1032,37.115,42.295
1033,2223,42,2223_1033,39.91,42.8
1034,2223,40,2223_1034,26.605,37.325
1035,2223,41,2223_1035,36.44,40.625
1036,2223,38,2223_1036,30.175,33.95
2001,2223,39,2223_2001,35.25,39.45
2002,2223,41,2223_2002,33.005,37.45
2003,2223,36,2223_2003,27.56,31.235
2004,2223,34,2223_2004,30.97,36.1
2005,2223,35,2223_2005,32.82,36.55
2006,2223,43,2223_2006,28.23,32.105
2007,2223,36,2223_2007,28.26,36.7
2008,2223,40,2223_2008,24.1,34.3
2009,2223,41,2223_2009,35.66,39.3
2010,2223,35,2223_2010,26.22,32.4
2011,2223,34,2223_2011,28.775,35.935
2012,2223,33,2223_2012,29.375,33.125
2013,2223,36,2223_2013,23.88,35.3
2014,2223,44,2223_2014,38.47,43.37
2015,2223,35,2223_2015,36.425,41.055
2016,2223,41,2223_2016,26.86,34
2017,2223,40,2223_2017,35.205,40.4
2018,2223,44,2223_2018,35,39.585
2019,2223,35,2223_2019,25.96,33.085
2020,2223,43,2223_2020,30.495,38.285
2021,2223,42,2223_2021,27.705,32.3
2022,2223,42,2223_2022,27.005,34.25
2023,2223,45,2223_2023,34.725,40.975
2024,2223,44,2223_2024,33.71,38.955
2025,2223,31,2223_2025,29.62,34.2
2026,2223,35,2223_2026,25.795,31.05
2027,2223,36,2223_2027,26.645,32.55
2028,2223,40,2223_2028,30.71,37.05
2029,2223,42,2223_2029,32.565,39.55
2030,2223,37,2223_2030,31.77,36.95
2031,2223,37,2223_2031,29.52,34.85
2032,2223,36,2223_2032,31.61,36.85
2033,2223,38,2223_2033,33.725,37.96
2034,2223,39,2223_2034,31.745,35.95
2035,2223,41,2223_2035,32.51,39.4
2036,2223,43,2223_2036,40.53,46
1001,2224,29,2224_1001,30.005,32.9
1002,2224,37,2224_1002,35.975,38.77
1003,2224,40,2224_1003,33.04,36.05
1004,2224,41,2224_1004,33.035,37.11
1005,2224,40,2224_1005,31.595,36.95
1006,2224,36,2224_1006,30.745,36.915
1007,2224,35,2224_1007,27.625,33.08
1008,2224,34,2224_1008,27.37,34.26
1009,2224,39,2224_1009,31.39,37.35
1010,2224,40,2224_1010,31.45,34.7
1011,2224,37,2224_1011,25.805,31.7
1012,2224,34,2224_1012,23.63,30.5
1013,2224,35,2224_1013,26.855,35.555
1014,2224,36,2224_1014,28.155,32.15
1015,2224,33,2224_1015,27.105,29.555
1016,2224,32,2224_1016,27.99,32.885
1017,2224,36,2224_1017,33.39,40.745
1018,2224,36,2224_1018,31.83,38.25
1019,2224,39,2224_1019,28.54,35.85
1020,2224,38,2224_1020,31.675,36.23
1021,2224,32,2224_1021,34.385,39.325
1022,2224,39,2224_1022,38.3,43.3
1023,2224,36,2224_1023,33.21,37.595
1024,2224,38,2224_1024,31.385,37.95
1025,2224,40,2224_1025,31.735,39.405
1026,2224,37,2224_1026,36.04,40.195
1027,2224,39,2224_1027,33.915,41.3
1028,2224,36,2224_1028,31.285,35.58
1029,2224,38,2224_1029,33.195,40.6
1030,2224,39,2224_1030,34.11,41.73
2001,2224,37,2224_2001,30.52,34.36
2002,2224,38,2224_2002,41.785,47.065
2003,2224,38,2224_2003,33.405,40.9
2004,2224,34,2224_2004,29.995,34.41
2005,2224,38,2224_2005,29.96,36.44
2006,2224,37,2224_2006,36.32,39.35
2007,2224,40,2224_2007,33.855,38.45
2008,2224,35,2224_2008,34.6,39.25
2009,2224,36,2224_2009,36.69,39.34
2010,2224,42,2224_2010,32.71,39.7
2011,2224,33,2224_2011,30.81,36.9
2012,2224,36,2224_2012,30.745,36.45
2013,2224,34,2224_2013,35.905,41.65
2014,2224,37,2224_2014,32.15,36.7
2015,2224,35,2224_2015,35.2,41.745
2016,2224,37,2224_2016,33.85,39.25
2017,2224,35,2224_2017,23.75,30.55
2018,2224,35,2224_2018,28.23,35.295
2019,2224,37,2224_2019,31.65,37.075
2020,2224,36,2224_2020,36.345,42.17
2021,2224,37,2224_2021,37.615,42.4
2022,2224,38,2224_2022,34.42,39.345
2023,2224,33,2224_2023,26.895,30.95
2024,2224,43,2224_2024,28.815,34.05
2025,2224,47,2224_2025,37.385,41
2026,2224,37,2224_2026,39.25,44.1
2027,2224,39,2224_2027,35.365,40.055
2028,2224,35,2224_2028,36.41,41.365
2029,2224,39,2224_2029,31.66,35.95
2030,2224,40,2224_2030,34.445,38.15
